project_key,project_name,repository,total_tickets,resolved_tickets,assignee_tickets,assignee_coverage_pct,nonempty_summary_tickets,summary_coverage_pct,nonempty_description_tickets,description_coverage_pct,nonempty_summary_or_description_tickets,text_coverage_pct,distinct_assignees,first_created_at,last_created_at,pre_cutoff_created_tickets,post_cutoff_created_tickets,people_meeting_minimum_pre_cutoff_resolved_tickets,plausible_heldout_briefs
ALOY,Alloy Framework,Appcelerator,1519,1306,1048,68.99,1519,100.00,1419,93.42,1519,100.00,30,2012-05-06 20:25:25,2020-10-12 15:58:01,1426,93,5,1
APIKIT,Mule APIkit,Mulesoft,886,849,756,85.33,886,100.00,886,100.00,886,100.00,34,2013-05-03 18:25:11,2020-01-16 14:49:40,786,100,8,0
APSTUD,Aptana Studio,Appcelerator,8135,6133,8086,99.40,8135,100.00,8034,98.76,8135,100.00,15,2003-12-12 19:00:00,2018-02-25 09:43:59,8135,0,10,0
BAM,Atlassian Bamboo ,Atlassian,14252,12219,4153,29.14,14252,100.00,12845,90.13,14252,100.00,107,2006-04-07 00:43:22,2020-10-23 22:13:07,13439,813,30,125
BE,Hyperledger Blockchain Explorer,Hyperledger,802,739,784,97.76,802,100.00,692,86.28,802,100.00,64,2016-10-02 12:40:59,2020-10-18 04:07:01,480,322,8,61
CLI,Command-Line Interface,Appcelerator,645,575,546,84.65,645,100.00,640,99.22,645,100.00,29,2014-07-21 20:09:25,2020-10-20 16:10:59,591,54,6,1
CLOV,Atlassian Clover,Atlassian,1501,1501,831,55.36,1501,100.00,1230,81.95,1501,100.00,20,2007-08-02 00:41:41,2017-01-19 13:54:17,1501,0,9,0
COMPASS,MongoDB Compass ,MongoDB,1791,1450,856,47.79,1791,100.00,1612,90.01,1791,100.00,17,2016-03-21 14:59:36,2020-10-21 15:33:07,887,904,3,49
CONFCLOUD,Atlassian Confluence Cloud,Atlassian,23409,5247,6960,29.73,23409,100.00,23123,98.78,23409,100.00,513,2003-11-19 20:40:09,2020-10-22 21:47:59,20266,3143,1,1
CONFSERVER,Atlassian Confluence Server,Atlassian,42324,36268,15502,36.63,42324,100.00,41908,99.02,42324,100.00,422,2003-09-19 08:15:03,2020-10-23 03:08:29,40140,2184,102,78
CWD,Atlassian Crowd,Atlassian,4311,3325,1720,39.90,4311,100.00,3988,92.51,4311,100.00,105,2006-09-25 20:37:05,2020-10-20 17:49:54,4054,257,17,5
CXX,The Mongo C++ driver,MongoDB,2032,1770,1438,70.77,2032,100.00,1690,83.17,2032,100.00,39,2010-02-01 10:00:17,2020-10-21 15:17:05,1648,384,15,23
DAEMON,Appcelerator Daemon,Appcelerator,313,283,313,100.00,313,100.00,313,100.00,313,100.00,5,2016-02-03 23:32:09,2020-04-22 17:46:25,260,53,2,32
